id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Empty Porch,Willow Creek,folk,sad,0.22,68,0.18,0.31,0.94
12,Neon Surge,Bass Circuit,edm,excited,0.95,140,0.88,0.91,0.04
13,Iron Override,Fracture Point,metal,angry,0.96,168,0.22,0.55,0.06
14,3AM Gravity,Velvet Shore,r&b,moody,0.58,88,0.38,0.68,0.34
15,Morning Aria,The Still Quartet,classical,relaxed,0.18,58,0.72,0.26,0.97
16,Golden Hour Bounce,Sunny Daze,hip-hop,happy,0.78,96,0.85,0.84,0.12
17,Deep State Alpha,Theta Pulse,electronic,focused,0.55,92,0.52,0.63,0.08
18,Rust Belt Hymn,Hollow Rail,blues,sad,0.39,66,0.28,0.44,0.72
19,Hall of Fame,Stray Kids,k-pop,excited,0.89,133,0.72,0.86,0.07
20,Heartbeat Drop,Neon Echo,pop,excited,0.88,128,0.82,0.86,0.10
21,Summer Static,Indigo Parade,pop,happy,0.84,122,0.86,0.83,0.15
22,Electric Feel,Sunny Daze,pop,excited,0.91,130,0.80,0.88,0.08
23,Neon Idol,Stray Kids,k-pop,excited,0.90,136,0.75,0.87,0.06
24,Cherry Blossom Wave,Orbit Bloom,k-pop,happy,0.85,128,0.83,0.84,0.09
25,Pixel Dreams,Theta Pulse,k-pop,excited,0.87,134,0.78,0.85,0.07
26,Rainy Window,LoRoom,lofi,chill,0.38,76,0.62,0.56,0.82
27,Dusk Session,Paper Lanterns,lofi,focused,0.43,82,0.55,0.61,0.79
28,Stellar Drift,Orbit Bloom,ambient,chill,0.25,62,0.68,0.38,0.94
29,Cloud Architecture,Theta Pulse,ambient,relaxed,0.30,58,0.70,0.42,0.91
30,Late Night Brew,Slow Stereo,jazz,relaxed,0.40,85,0.74,0.52,0.88
31,Velvet Chords,Slow Stereo,jazz,moody,0.45,94,0.42,0.58,0.85
32,Voltage Rush,Voltline,rock,intense,0.89,148,0.52,0.68,0.12
33,Broken Glass Road,Hollow Rail,rock,moody,0.72,132,0.35,0.62,0.18
34,Shatter Protocol,Fracture Point,metal,angry,0.97,172,0.18,0.51,0.05
35,Bass Overload,Bass Circuit,edm,excited,0.94,142,0.85,0.90,0.03
36,Midnight Rave,Theta Pulse,edm,intense,0.92,138,0.60,0.88,0.04
37,Velvet Smoke,Velvet Shore,r&b,moody,0.55,84,0.42,0.65,0.38
38,Golden Glow,Velvet Shore,r&b,happy,0.68,92,0.78,0.72,0.28
39,Nocturne in Blue,The Still Quartet,classical,sad,0.15,56,0.28,0.22,0.98
40,String Theory,The Still Quartet,classical,relaxed,0.20,62,0.75,0.28,0.96
41,Block Party,Max Pulse,hip-hop,excited,0.82,98,0.88,0.86,0.10
42,Corner Store Legend,Sunny Daze,hip-hop,happy,0.74,94,0.82,0.80,0.16
43,Wildflower Trail,Willow Creek,folk,relaxed,0.28,72,0.72,0.38,0.92
44,Porch Light,Willow Creek,folk,sad,0.25,66,0.22,0.34,0.90
45,Delta Crawl,Hollow Rail,blues,sad,0.42,68,0.25,0.46,0.76
46,Smokestack City,Hollow Rail,blues,moody,0.48,72,0.32,0.50,0.70
47,Arcade Hearts,Neon Echo,indie pop,happy,0.72,120,0.84,0.78,0.32
48,Glass Ceiling,Indigo Parade,indie pop,moody,0.62,108,0.38,0.65,0.44
49,Chrome Highway,Bass Circuit,synthwave,intense,0.80,116,0.55,0.75,0.18
50,Signal Lost,Theta Pulse,electronic,focused,0.58,96,0.48,0.66,0.10
